incident_id,date,time,operator_name,machine_id,severity,operator_badge,comment,shift
INC-000091,2025-06-29,13:15,OPERATEUR-07,M-09,1,BADGE-11,,matin
INC-000080,2025-06-15,14:10,OPERATEUR-09,M-03,1,BADGE-03,,apres-midi
INC-000072,2025-05-31,06:20,OPERATEUR-02,M-03,5,BADGE-02,micro-fuite,matin
INC-000006,2025-03-09,23:45,OPERATEUR-04,M-10,2,BADGE-04,défaut qualité,nuit
INC-000208,2025-11-25,10:45,OPERATEUR-06,M-08,1,BADGE-05,défaut qualité,matin
INC-000268,2026-01-27,14:00,OPERATEUR-06,M-09,1,BADGE-05,alarme capteur,apres-midi
INC-000256,2026-01-09,03:10,OPERATEUR-05,M-04,2,BADGE-09,défaut qualité,nuit
INC-000261,2026-01-18,12:10,OPERATEUR-06,M-06,1,BADGE-05,,matin
INC-000113,2025-07-19,14:45,OPERATEUR-08,M-12,3,BADGE-08,bruit anormal,apres-midi
INC-000073,2025-06-01,23:10,OPERATEUR-02,M-02,1,BADGE-02,micro-fuite,nuit
INC-000186,2025-10-30,22:00,OPERATEUR-06,M-10,1,BADGE-05,,nuit
INC-000008,2025-03-12,22:15,OPERATEUR-05,M-01,1,BADGE-09,bruit anormal,nuit
INC-000129,2025-08-01,16:15,OPERATEUR-10,M-07,1,BADGE-07,chauffe,apres-midi
INC-000148,2025-08-30,18:00,OPERATEUR-07,M-07,1,BADGE-11,bruit anormal,apres-midi
INC-000240,2025-12-24,18:10,OPERATEUR-04,M-09,5,BADGE-04,chauffe,apres-midi
INC-000138,2025-08-10,10:05,OPERATEUR-10,M-07,1,BADGE-07,défaut qualité,matin
INC-000269,2026-01-28,17:30,OPERATEUR-09,M-03,2,BADGE-03,micro-fuite,apres-midi
INC-000137,2025-08-10,15:30,OPERATEUR-11,M-13,1,BADGE-10,chauffe,apres-midi
INC-000157,2025-09-14,17:10,OPERATEUR-06,M_07,1,BADGE-05,,apres-midi
INC-000242,2025-12-26,11:05,OPERATEUR-05,M-01,3,BADGE-09,piece bloquée,matin
INC-000267,2026-01-23,10:45,OPERATEUR-05,M-05,2,BADGE-09,défaut qualité,matin
INC-000128,2025-07-28,20:45,OPERATEUR-04,M-08,2,BADGE-04,défaut qualité,apres-midi
INC-000188,2025-10-31,08:15,OPERATEUR-10,M-07,1,BADGE-07,,matin
INC-000022,2025-04-05,14:30,OPERATEUR-10,M-10,1,BADGE-07,,apres-midi
INC-000238,2025-12-22,09:30,OPERATEUR-10,M-10,2,BADGE-07,surconsommation,matin
INC-000232,2025-12-17,13:00,OPERATEUR-08,M-11,1,BADGE-08,surconsommation,matin
INC-000038,2025-04-19,14:00,OPERATEUR-04,M-08,1,BADGE-04,bruit anormal,apres-midi
INC-000245,2025-12-30,18:05,OPERATEUR-10,M-09,1,BADGE-07,chauffe,apres-midi
INC-000056,2025-05-11,21:30,OPERATEUR-11,M-11,5,BADGE-10,surconsommation,apres-midi
INC-000167,2025-09-27,04:30,OPERATEUR-06,M-10,3,BADGE-05,bruit anormal,nuit
INC-000248,2026-01-01,19:45,OPERATEUR-03,M-13,1,BADGE-06,piece bloquée,apres-midi
INC-000190,2025-11-01,15:45,OPERATEUR-08,M-14,1,BADGE-08,,apres-midi
INC-000101,2025-07-08,15:45,OPERATEUR-10,M-07,1,BADGE-07,,apres-midi
INC-000143,2025-08-20,10:15,OPERATEUR-03,M-11,1,BADGE-06,piece bloquée,matin
INC-000222,2025-12-03,20:20,OPERATEUR-09,M-02,1,BADGE-03,,apres-midi
INC-000176,2025-10-18,08:30,OPERATEUR-05,M-02,1,BADGE-09,micro-fuite,matin
INC-000029,2025-04-14,12:30,OPERATEUR-11,M-11,1,BADGE-10,bruit anormal,matin
INC-000247,2025-12-30,12:15,OPERATEUR-07,M-06,1,BADGE-11,surconsommation,matin
INC-000280,2026-02-16,14:20,OPERATEUR-09,M-04,3,BADGE-03,défaut qualité,apres-midi
INC-000034,2025-04-16,17:05,OPERATEUR-08,M-13,1,BADGE-08,,apres-midi
INC-000067,2025-05-27,18:20,OPERATEUR-03,M-15,1,BADGE-06,bruit anormal,apres-midi
INC-000185,2025-10-30,13:45,OPERATEUR-08,M-11,1,BADGE-08,chauffe,matin
INC-000162,2025-09-19,14:45,OPERATEUR-05,M-03,2,BADGE-09,micro-fuite,apres-midi
INC-000081,2025-06-16,13:00,OPERATEUR-04,M-10,1,BADGE-04,,matin
INC-000223,2025-12-04,14:10,OPERATEUR-11,M-15,2,BADGE-10,arrêt d'urgence,apres-midi
INC-000005,2025-03-05,18:05,OPERATEUR-08,M-13,1,BADGE-08,vibration,apres-midi
INC-000266,2026-01-22,10:05,OPERATEUR-07,M-06,3,BADGE-11,,matin
INC-000199,2025-11-15,17:00,OPERATEUR-10,M-07,1,BADGE-07,chauffe,apres-midi
INC-000090,2025-06-29,05:05,OPERATEUR-08,M-11,3,BADGE-08,surconsommation,nuit
INC-000126,2025-07-27,10:20,OPERATEUR-10,M-09,1,BADGE-07,défaut qualité,matin
INC-000096,2025-07-03,13:05,OPERATEUR-11,M-15,1,BADGE-10,,matin
INC-000108,2025-07-15,18:10,OPERATEUR-03,M-12,1,BADGE-06,,apres-midi
INC-000180,2025-10-23,11:10,OPERATEUR-02,M-01,2,BADGE-02,surconsommation,matin
INC-000221,2025-12-01,12:05,OPERATEUR-11,M-15,1,BADGE-10,,matin
INC-000024,2025-04-09,09:20,OPERATEUR-05,M-03,1,BADGE-09,,matin
INC-000164,2025-09-22,20:45,OPERATEUR-04,M-07,1,BADGE-04,,apres-midi
INC-000234,2025-12-20,19:15,OPERATEUR-03,M-13,1,BADGE-06,vibration,apres-midi
INC-000145,2025-08-23,14:45,OPERATEUR-07,M-07,1,BADGE-11,vibration,apres-midi
INC-000121,2025-07-23,07:05,OPERATEUR-11,M-14,1,BADGE-10,micro-fuite,matin
INC-000011,2025-03-13,12:45,OPERATEUR-06,M-08,1,BADGE-05,surconsommation,matin
INC-000237,2025-12-22,18:45,OPERATEUR-08,M-15,2,BADGE-08,,apres-midi
INC-000253,2026-01-06,13:30,OPERATEUR-06,M-07,1,BADGE-05,défaut qualité,matin
INC-000027,2025-04-13,19:00,OPERATEUR-05,M-03,1,BADGE-09,chauffe,apres-midi
INC-000012,2025-03-15,13:30,OPERATEUR-09,M-01,1,BADGE-03,vibration,matin
INC-000151,2025-09-01,12:30,OPERATEUR-10,M-10,1,BADGE-07,alarme capteur,matin
INC-000063,2025-05-20,14:00,OPERATEUR-02,M-04,2,BADGE-02,vibration,apres-midi
INC-000082,2025-06-16,14:00,OPERATEUR-03,M-12,1,BADGE-06,arrêt d'urgence,apres-midi
INC-000270,2026-01-31,13:10,OPERATEUR-10,M-09,1,BADGE-07,,matin
INC-000055,2025-05-11,02:15,OPERATEUR-04,M-10,2,BADGE-04,piece bloquée,nuit
INC-000168,2025-09-27,13:05,OPERATEUR-10,M-08,1,BADGE-07,surconsommation,matin
INC-000092,2025-07-01,11:15,OPERATEUR-05,M-03,2,BADGE-09,micro-fuite,matin
INC-000276,2026-02-11,19:20,OPERATEUR-08,M-14,1,BADGE-08,,apres-midi
INC-000036,2025-04-17,10:00,OPERATEUR-10,M-07,4,BADGE-07,bruit anormal,matin
INC-000277,2026-02-12,16:15,OPERATEUR-05,M-01,2,BADGE-09,,apres-midi
INC-000161,2025-09-16,17:45,OPERATEUR-07,M-07,4,BADGE-11,,apres-midi
INC-000166,2025-09-26,17:10,OPERATEUR-06,M_07,2,BADGE-05,bruit anormal,apres-midi
INC-000217,2025-11-30,21:20,OPERATEUR-04,M-06,1,BADGE-04,chauffe,apres-midi
INC-000262,2026-01-20,08:45,OPERATEUR-03,M-12,1,BADGE-06,surconsommation,matin
INC-000211,2025-11-26,19:45,OPERATEUR-04,M-06,1,BADGE-04,alarme capteur,apres-midi
INC-000051,2025-05-07,14:30,OPERATEUR-03,M-12,1,BADGE-06,,apres-midi
INC-000244,2025-12-29,15:05,OPERATEUR-06,M-07,1,BADGE-05,alarme capteur,apres-midi
INC-000239,2025-12-22,12:00,OPERATEUR-01,M-05,1,BADGE-01,,matin
INC-000131,2025-08-02,11:15,OPERATEUR-02,M-01,2,BADGE-02,piece bloquée,matin
INC-000258,2026-01-16,16:30,OPERATEUR-08,M-14,2,BADGE-08,,apres-midi
INC-000282,2026-02-24,15:15,OPERATEUR-09,M-05,1,BADGE-03,surconsommation,apres-midi
INC-000281,2026-02-24,19:10,OPERATEUR-08,M-11,1,BADGE-08,alarme capteur,apres-midi
INC-000212,2025-11-26,04:30,OPERATEUR-10,M-10,3,BADGE-07,piece bloquée,nuit
INC-000250,2026-01-05,19:30,OPERATEUR-06,M-08,4,BADGE-05,surconsommation,apres-midi
INC-000144,2025-08-23,14:15,OPERATEUR-03,M-12,1,BADGE-06,vibration,apres-midi
INC-000210,2025-11-26,15:15,OPERATEUR-11,M-13,1,BADGE-10,bruit anormal,apres-midi
INC-000198,2025-11-14,12:20,OPERATEUR-02,M-04,2,BADGE-02,,matin
INC-000079,2025-06-12,15:05,OPERATEUR-09,M-2,2,BADGE-03,,apres-midi
INC-000042,2025-04-29,19:30,OPERATEUR-05,M-04,1,BADGE-09,surconsommation,apres-midi
INC-000133,2025-08-06,16:45,OPERATEUR-03,M-11,1,BADGE-06,bruit anormal,apres-midi
INC-000203,2025-11-22,12:20,OPERATEUR-07,M-09,1,BADGE-11,,matin
INC-000014,2025-03-15,13:45,OPERATEUR-06,M-07,1,BADGE-05,,matin
INC-000278,2026-02-12,05:10,OPERATEUR-11,M-13,1,BADGE-10,défaut qualité,nuit
INC-000243,2025-12-28,14:45,OPERATEUR-07,M-06,1,BADGE-11,alarme capteur,apres-midi
INC-000197,2025-11-13,09:45,OPERATEUR-08,M-15,1,BADGE-08,vibration,matin
INC-000236,2025-12-22,14:20,OPERATEUR-05,M-02,2,BADGE-09,bruit anormal,apres-midi
INC-000153,2025-09-05,09:15,OPERATEUR-07,M-08,1,BADGE-11,chauffe,matin
INC-000220,2025-11-30,13:30,OPERATEUR-07,M-07,1,BADGE-11,bruit anormal,matin
INC-000009,2025-03-12,13:45,OPERATEUR-11,M-13,1,BADGE-10,,matin
INC-000078,2025-06-10,15:00,OPERATEUR-11,M-12,2,BADGE-10,,apres-midi
INC-000235,2025-12-21,13:05,OPERATEUR-09,M-05,1,BADGE-03,bruit anormal,matin
INC-000152,2025-09-05,09:00,OPERATEUR-11,M-15,1,BADGE-10,,matin
INC-000182,2025-10-26,08:15,OPERATEUR-02,M-02,1,BADGE-02,vibration,matin
INC-000120,2025-07-22,15:45,OPERATEUR-08,M-11,3,BADGE-08,,apres-midi
INC-000260,2026-01-16,22:15,OPERATEUR-08,M-12,1,BADGE-08,,nuit
INC-000064,2025-05-22,11:20,OPERATEUR-02,M-03,4,BADGE-02,,matin
INC-000109,2025-07-17,16:15,OPERATEUR-09,M-03,2,BADGE-03,micro-fuite,apres-midi
INC-000142,2025-08-17,15:15,OPERATEUR-08,M-11,1,BADGE-08,bruit anormal,apres-midi
INC-000089,2025-06-28,17:45,OPERATEUR-09,M-04,1,BADGE-03,,apres-midi
INC-000228,2025-12-10,12:45,OPERATEUR-06,M-10,1,BADGE-05,,matin
INC-000202,2025-11-22,15:00,OPERATEUR-05,M-03,1,BADGE-09,chauffe,apres-midi
INC-000045,2025-05-01,15:05,OPERATEUR-10,M-07,1,BADGE-07,chauffe,apres-midi
INC-000194,2025-11-09,13:00,OPERATEUR-04,M-10,2,BADGE-04,arrêt d'urgence,matin
INC-000174,2025-10-10,22:05,OPERATEUR-03,M-12,1,BADGE-06,,nuit
INC-000066,2025-05-27,12:30,OPERATEUR-09,M-03,3,BADGE-03,,matin
INC-000061,2025-05-18,16:45,OPERATEUR-05,M-04,1,BADGE-09,défaut qualité,apres-midi
INC-000094,2025-07-02,17:00,OPERATEUR-01,M-03,3,BADGE-01,,apres-midi
INC-000257,2026-01-13,10:05,OPERATEUR-04,M-09,1,BADGE-04,piece bloquée,matin
INC-000263,2026-01-20,18:10,OPERATEUR-07,M-08,3,BADGE-11,micro-fuite,apres-midi
INC-000249,2026-01-03,17:00,OPERATEUR-01,M-08,1,BADGE-01,alarme capteur,apres-midi
INC-000158,2025-09-14,06:15,OPERATEUR-08,M-11,2,BADGE-08,bruit anormal,matin
INC-000001,2025-02-26,08:10,OPERATEUR-08,M-11,1,BADGE-08,,matin
INC-000046,2025-05-02,19:00,OPERATEUR-05,M-01,3,BADGE-09,arrêt d'urgence,apres-midi
INC-000154,2025-09-05,19:30,OPERATEUR-05,M-01,3,BADGE-09,,apres-midi
INC-000041,2025-04-28,10:05,OPERATEUR-10,M-08,4,BADGE-07,micro-fuite,matin
INC-000060,2025-05-16,19:15,OPERATEUR-04,M-09,1,BADGE-04,alarme capteur,apres-midi
INC-000230,2025-12-14,10:15,OPERATEUR-03,M-12,2,BADGE-06,,matin
INC-000047,2025-05-04,10:05,OPERATEUR-11,M-11,1,BADGE-10,bruit anormal,matin
INC-000196,2025-11-10,08:00,OPERATEUR-05,M-02,1,BADGE-09,défaut qualité,matin
INC-000224,2025-12-06,16:45,OPERATEUR-11,M-12,1,BADGE-10,chauffe,apres-midi
INC-000105,2025-07-11,13:15,OPERATEUR-05,M-02,1,BADGE-09,piece bloquée,matin
INC-000134,2025-08-09,13:30,OPERATEUR-07,M-08,1,BADGE-11,alarme capteur,matin
INC-000017,2025-03-20,16:15,OPERATEUR-05,M-02,1,BADGE-09,chauffe,apres-midi
INC-000259,2026-01-16,12:00,OPERATEUR-08,M-11,3,BADGE-08,défaut qualité,matin
INC-000175,2025-10-14,13:20,OPERATEUR-09,M-01,4,BADGE-03,piece bloquée,matin
INC-000117,2025-07-22,14:15,OPERATEUR-09,M-01,1,BADGE-03,surconsommation,apres-midi
INC-000255,2026-01-09,13:00,OPERATEUR-11,M-14,4,BADGE-10,bruit anormal,matin
INC-000075,2025-06-06,14:30,OPERATEUR-09,M-04,1,BADGE-03,vibration,apres-midi
INC-000111,2025-07-18,20:05,OPERATEUR-11,M-12,1,BADGE-10,vibration,apres-midi
INC-000146,2025-08-25,12:10,OPERATEUR-02,M-03,1,BADGE-02,piece bloquée,matin
INC-000039,2025-04-20,16:45,OPERATEUR-10,M-06,1,BADGE-07,piece bloquée,apres-midi
INC-000028,2025-04-13,07:10,OPERATEUR-10,M-07,5,BADGE-07,,matin
INC-000141,2025-08-17,17:15,OPERATEUR-07,M-08,1,BADGE-11,arrêt d'urgence,apres-midi
INC-000122,2025-07-24,06:00,OPERATEUR-07,M-08,1,BADGE-11,bruit anormal,matin
INC-000219,2025-11-30,13:45,OPERATEUR-03,M-11,1,BADGE-06,,matin
INC-000088,2025-06-28,23:30,OPERATEUR-02,M-03,1,BADGE-02,bruit anormal,nuit
INC-000010,2025-03-12,06:15,OPERATEUR-03,M-11,1,BADGE-06,piece bloquée,matin
INC-000007,2025-03-10,11:05,OPERATEUR-05,M-03,1,BADGE-09,bruit anormal,matin
INC-000189,2025-10-31,11:20,OPERATEUR-10,M-07,1,BADGE-07,,matin
INC-000193,2025-11-09,12:05,OPERATEUR-10,M-07,1,BADGE-07,vibration,matin
INC-000195,2025-11-10,21:30,OPERATEUR-07,M-09,1,BADGE-11,,apres-midi
INC-000283,2026-02-25,14:00,OPERATEUR-04,M-08,1,BADGE-04,surconsommation,apres-midi
INC-000218,2025-11-30,15:45,OPERATEUR-03,M-12,4,BADGE-06,bruit anormal,apres-midi
INC-000150,2025-09-01,16:45,OPERATEUR-04,M-09,1,BADGE-04,vibration,apres-midi
INC-000140,2025-08-13,19:15,OPERATEUR-03,M-12,4,BADGE-06,alarme capteur,apres-midi
INC-000068,2025-05-28,11:15,OPERATEUR-10,M-08,2,BADGE-07,bruit anormal,matin
INC-000004,2025-03-04,16:20,OPERATEUR-04,M-08,1,BADGE-04,piece bloquée,apres-midi
INC-000087,2025-06-23,15:45,OPERATEUR-02,M-03,5,BADGE-02,piece bloquée,apres-midi
INC-000178,2025-10-18,13:10,OPERATEUR-07,M-09,1,BADGE-11,alarme capteur,matin
INC-000207,2025-11-24,12:15,OPERATEUR-11,M-15,1,BADGE-10,,matin
INC-000049,2025-05-06,11:45,OPERATEUR-10,M-07,1,BADGE-07,,matin
INC-000118,2025-07-22,10:30,OPERATEUR-05,M-03,1,BADGE-09,surconsommation,matin
INC-000173,2025-10-07,11:10,OPERATEUR-03,M-14,1,BADGE-06,bruit anormal,matin
INC-000052,2025-05-08,14:00,OPERATEUR-08,M-13,1,BADGE-08,,apres-midi
INC-000002,2025-02-28,16:30,OPERATEUR-09,M-01,3,BADGE-03,vibration,apres-midi
INC-000019,2025-03-29,17:05,OPERATEUR-11,M-14,2,BADGE-10,chauffe,apres-midi
INC-000013,2025-03-15,18:05,OPERATEUR-06,M-6,3,BADGE-05,bruit anormal,apres-midi
INC-000050,2025-05-06,15:30,OPERATEUR-03,M-11,1,BADGE-06,défaut qualité,apres-midi
INC-000057,2025-05-14,15:45,OPERATEUR-11,M-15,3,BADGE-10,chauffe,apres-midi
INC-000179,2025-10-18,13:20,OPERATEUR-09,M-01,1,BADGE-03,piece bloquée,matin
INC-000026,2025-04-12,12:05,OPERATEUR-05,M-05,1,BADGE-09,chauffe,matin
INC-000184,2025-10-29,13:00,OPERATEUR-11,M-12,1,BADGE-10,bruit anormal,matin
INC-000102,2025-07-08,12:15,OPERATEUR-10,M-07,3,BADGE-07,piece bloquée,matin
INC-000187,2025-10-30,23:20,OPERATEUR-03,M-13,1,BADGE-06,surconsommation,nuit
INC-000044,2025-04-30,12:00,OPERATEUR-03,M-12,1,BADGE-06,chauffe,matin
INC-000130,2025-08-01,10:10,OPERATEUR-04,M-07,3,BADGE-04,alarme capteur,matin
INC-000200,2025-11-17,16:10,OPERATEUR-06,M-07,1,BADGE-05,,apres-midi
INC-000183,2025-10-26,13:45,OPERATEUR-09,M-01,1,BADGE-03,chauffe,matin
INC-000204,2025-11-22,12:45,OPERATEUR-02,M-04,1,BADGE-02,micro-fuite,matin
INC-000104,2025-07-10,07:30,OPERATEUR-07,M-08,4,BADGE-11,,matin
INC-000015,2025-03-17,19:10,OPERATEUR-06,M-07,2,BADGE-05,chauffe,apres-midi
INC-000135,2025-08-09,15:15,OPERATEUR-11,M-13,1,BADGE-10,piece bloquée,apres-midi
INC-000264,2026-01-21,10:15,OPERATEUR-04,M-09,4,BADGE-04,vibration,matin
INC-000155,2025-09-06,15:10,OPERATEUR-04,M-09,3,BADGE-04,,apres-midi
INC-000116,2025-07-21,05:05,OPERATEUR-05,M-03,2,BADGE-09,alarme capteur,nuit
INC-000110,2025-07-17,16:10,OPERATEUR-07,M-08,1,BADGE-11,alarme capteur,apres-midi
INC-000071,2025-05-31,16:45,OPERATEUR-08,M-12,4,BADGE-08,micro-fuite,apres-midi
INC-000252,2026-01-06,12:05,OPERATEUR-06,M-07,1,BADGE-05,,matin
INC-000159,2025-09-15,12:30,OPERATEUR-09,M-05,3,BADGE-03,bruit anormal,matin
INC-000246,2025-12-30,13:30,OPERATEUR-08,M-12,1,BADGE-08,vibration,matin
INC-000016,2025-03-20,13:30,OPERATEUR-08,M-11,1,BADGE-08,,matin
INC-000229,2025-12-10,12:05,OPERATEUR-05,M-03,3,BADGE-09,chauffe,matin
INC-000147,2025-08-26,18:00,OPERATEUR-02,M-05,2,BADGE-02,surconsommation,apres-midi
INC-000206,2025-11-23,17:20,OPERATEUR-03,M-12,1,BADGE-06,arrêt d'urgence,apres-midi
INC-000023,2025-04-07,18:20,OPERATEUR-04,M-07,1,BADGE-04,bruit anormal,apres-midi
INC-000139,2025-08-12,18:30,OPERATEUR-10,M-07,2,BADGE-07,bruit anormal,apres-midi
INC-000059,2025-05-15,10:00,OPERATEUR-07,M-07,5,BADGE-11,bruit anormal,matin
INC-000163,2025-09-21,12:45,OPERATEUR-04,M-10,4,BADGE-04,micro-fuite,matin
INC-000076,2025-06-09,07:20,OPERATEUR-07,M-09,1,BADGE-11,surconsommation,matin
INC-000065,2025-05-23,08:20,OPERATEUR-10,M-06,1,BADGE-07,bruit anormal,matin
INC-000070,2025-05-30,18:15,OPERATEUR-05,M-02,2,BADGE-09,,apres-midi
INC-000279,2026-02-13,15:05,OPERATEUR-06,M-07,3,BADGE-05,chauffe,apres-midi
INC-000132,2025-08-02,19:15,OPERATEUR-05,M-01,1,BADGE-09,,apres-midi
INC-000169,2025-09-30,15:45,OPERATEUR-05,M-03,1,BADGE-09,,apres-midi
INC-000077,2025-06-09,21:30,OPERATEUR-11,M-12,1,BADGE-10,défaut qualité,apres-midi
INC-000275,2026-02-10,11:15,OPERATEUR-04,M-08,1,BADGE-04,défaut qualité,matin
INC-000035,2025-04-16,16:20,OPERATEUR-09,M-05,4,BADGE-03,bruit anormal,apres-midi
INC-000156,2025-09-12,12:20,OPERATEUR-10,M-06,2,BADGE-07,bruit anormal,matin
INC-000095,2025-07-03,13:15,OPERATEUR-04,M-09,1,BADGE-04,,matin
INC-000119,2025-07-22,10:15,OPERATEUR-05,M-03,1,BADGE-09,,matin
INC-000214,2025-11-28,14:45,OPERATEUR-05,M-03,1,BADGE-09,bruit anormal,apres-midi
INC-000098,2025-07-06,13:20,OPERATEUR-05,M-03,1,BADGE-09,défaut qualité,matin
INC-000103,2025-07-09,08:15,OPERATEUR-09,M-01,1,BADGE-03,vibration,matin
INC-000181,2025-10-24,09:15,OPERATEUR-09,M-05,1,BADGE-03,surconsommation,matin
INC-000093,2025-07-02,08:10,OPERATEUR-11,M-14,1,BADGE-10,,matin
INC-000125,2025-07-26,08:45,OPERATEUR-05,M-03,2,BADGE-09,arrêt d'urgence,matin
INC-000100,2025-07-07,14:10,OPERATEUR-07,M-07,1,BADGE-11,,apres-midi
INC-000106,2025-07-12,09:10,OPERATEUR-08,M-12,2,BADGE-08,surconsommation,matin
INC-000136,2025-08-10,20:45,OPERATEUR-06,M-09,3,BADGE-05,défaut qualité,apres-midi
INC-000177,2025-10-18,10:20,OPERATEUR-05,M-05,1,BADGE-09,chauffe,matin
INC-000271,2026-02-01,18:20,OPERATEUR-04,M-06,1,BADGE-04,piece bloquée,apres-midi
INC-000085,2025-06-20,11:05,OPERATEUR-07,M-09,1,BADGE-11,vibration,matin
INC-000040,2025-04-22,04:20,OPERATEUR-09,M-03,1,BADGE-03,défaut qualité,nuit
INC-000003,2025-02-28,12:00,OPERATEUR-02,M-03,1,BADGE-02,vibration,matin
INC-000069,2025-05-30,19:10,OPERATEUR-10,M-07,1,BADGE-07,,apres-midi
INC-000209,2025-11-25,14:30,OPERATEUR-03,M-12,4,BADGE-06,vibration,apres-midi
INC-000274,2026-02-10,11:15,OPERATEUR-02,M-01,1,BADGE-02,,matin
INC-000254,2026-01-08,10:10,OPERATEUR-07,M-08,1,BADGE-11,bruit anormal,matin
INC-000112,2025-07-18,10:15,OPERATEUR-10,M-08,1,BADGE-07,défaut qualité,matin
INC-000225,2025-12-07,08:10,OPERATEUR-11,M-12,3,BADGE-10,chauffe,matin
INC-000033,2025-04-16,18:30,OPERATEUR-10,M-06,1,BADGE-07,chauffe,apres-midi
INC-000074,2025-06-02,09:05,OPERATEUR-06,M-06,1,BADGE-05,surconsommation,matin
INC-000048,2025-05-05,09:30,OPERATEUR-10,M-08,4,BADGE-07,,matin
INC-000127,2025-07-28,10:15,OPERATEUR-09,M-05,1,BADGE-03,piece bloquée,matin
INC-000114,2025-07-21,12:00,OPERATEUR-05,M-02,1,BADGE-09,,matin
INC-000097,2025-07-05,12:45,OPERATEUR-09,M-03,1,BADGE-03,arrêt d'urgence,matin
INC-000226,2025-12-08,11:45,OPERATEUR-10,M-08,1,BADGE-07,micro-fuite,matin
INC-000215,2025-11-29,16:10,OPERATEUR-04,M-06,1,BADGE-04,chauffe,apres-midi
INC-000058,2025-05-14,12:05,OPERATEUR-09,M-03,3,BADGE-03,alarme capteur,matin
INC-000124,2025-07-25,15:20,OPERATEUR-08,M-15,1,BADGE-08,vibration,apres-midi
INC-000107,2025-07-13,19:20,OPERATEUR-09,M-05,1,BADGE-03,bruit anormal,apres-midi
INC-000084,2025-06-18,15:00,OPERATEUR-10,M-07,1,BADGE-07,micro-fuite,apres-midi
INC-000018,2025-03-27,15:05,OPERATEUR-07,M-09,2,BADGE-11,,apres-midi
